BASE EMOTION	EMOTION	 BODY AREA	PERSON					
angry	annoyed	Sentez cette zone qui retient quelque chose qui vibre. Cela se déplace vers votre bouche. À travers votre gorge. Essayant de sortir.	Écoute cette personne mâcher très fort.					
angry	frustrated	Vous mettez votre main sur cette zone pour arrêter les vibrations. Vous essayez de contrôler votre respiration. Rien n'aide.	Leurs lèvres bougent, mais tu ne peux pas les entendre. Crie leur nom. Ils peuvent t'entendre, mais ils agissent comme s'ils ne le faisaient pas.					
angry	irritated	Vous mettez votre main sur cette zone pour arrêter les vibrations. Vous essayez de contrôler votre respiration. Rien n'aide.	Écoute cette personne mâcher très fort.					
angry	upset	Ressentez comment cette zone tremble. Elle est censée être solide mais quelque chose l'empêche de rester immobile. Un rugissement profond est trop loin de votre gorge pour sortir.	C'est maintenant ta chance de leur dire ce que tu penses vraiment. Comment ils t'ont fait sentir. Ils ont l'air suffisants.					
angry	angry	Imaginez que cette zone est remplie d'abeilles en colère. Vous essayez de les secouer, mais elles ne partent pas.	Sens le poids du caillou dans ta main. Sens l'envie de le jeter de toutes tes forces sur la personne devant toi.					
angry	mad	Imaginez que cette zone est remplie d'abeilles en colère. Vous essayez de les secouer, mais elles ne partent pas.	Imagine demander de l'aide à cette personne. Ils t'ont entendu, mais ils ne bougent pas. Ils se moquent de toi.					
angry	enraged	Ressentez et entendez le grondement fort dans cette zone. Haute pression. Des fissures s'ouvrent pour laisser sortir la lave, mais la pression ne diminue jamais.	Sens le poids du caillou dans ta main. Sens l'envie de le jeter de toutes tes forces sur la personne devant toi.					
angry	furious	Imaginez que cette zone grandit, brûle et suppure comme toucher une plaie ouverte.	Imagine que cette personne te trahisse, puis hausse les épaules.					
envious	jealous	Imaginez une partie de cette zone manquante. Vous le voyez chez quelqu'un d'autre. Peu importe à quel point vous essayez de le ramener, vous ne pouvez même pas l'atteindre.	Imagine les pousser aussi fort que possible. Pensais-tu que cela te ferait sentir mieux ? Ça ne le fera pas.					
envious	envious	Imaginez une partie de cette zone manquante. Vous le voyez chez quelqu'un d'autre. Peu importe à quel point vous essayez de le ramener, vous ne pouvez même pas l'atteindre.	Imagine-les tenant inconsciemment ta pièce manquante.					
envious	resentful	Imaginez que cette zone est remplie de goudron noir. Le goudron s'écoule lentement. Empoisonnant le reste de votre corps.	Imagine les pousser aussi fort que possible. Pensais-tu que cela te ferait sentir mieux ? Ça ne le fera pas.					
depressed	low	Peut-être que si vous essayez de nettoyer cette zone, vous vous sentirez mieux. Vous essayez, mais ne savez pas par où commencer. Vous abandonnez.	Tu évites de les regarder dans les yeux. Moins tu t'engages, moins tu as à faire semblant.					
depressed	down	Vous oubliez la dernière fois que cette zone a pu ressentir les rayons de notre soleil. C'est humide et froid.	Ils essaient de te raconter une blague. Tu n'es pas sûr si tu as manqué la chute. Tu ne te donnes même pas la peine de faire semblant.					
depressed	grouchy	Peut-être que si vous essayez de nettoyer cette zone, vous vous sentirez mieux. Vous faites une tentative mais ne savez pas par où commencer. Vous abandonnez.	Tu cherches autour de toi, mais tu peux à peine les voir à travers le brouillard.					
depressed	crabby	Vous oubliez la dernière fois que cette zone a pu ressentir les rayons de notre soleil. C'est humide et froid.	Écoute-les se plaindre.					
depressed	cranky	Ressentez comment la zone est frappée par des forces grises, comme du gravier, venant du monde extérieur. La zone ne peut pas résister.	Ils te trouvent allongé(e) par terre à côté de ton lit.					
depressed	grumpy	Ressentez comment la zone est frappée par des forces grises, comme du gravier, venant du monde extérieur. La zone ne peut pas résister.	Écoute-les se plaindre.					
depressed	dejected	Ressentez la zone grandir et commencer à se répandre hors de votre corps jusqu'à ce qu'elle remplisse la pièce.	Tu évites de les regarder dans les yeux. Moins tu t'engages, moins tu as à faire semblant.					
depressed	bad	Imaginez que cette zone est à l'intérieur de votre corps, tout en vous dans votre pyjama sale, l'après-midi qui traîne jusqu'au soir.	Ils essaient de te raconter une blague. Tu n'es pas sûr si tu as manqué la chute. Tu ne te donnes même pas la peine de faire semblant.					
depressed	gloomy	Ressentez comment la zone est frappée par des forces grises, comme du gravier, venant du monde extérieur. La zone ne peut pas résister.	Tu cherches autour de toi, mais tu peux à peine les voir à travers le brouillard.					
depressed	glum	Ressentez la zone grandir et commencer à se répandre hors de votre corps jusqu'à ce qu'elle remplisse la pièce.	Écoute-les se plaindre.					
depressed	miserable	Imaginez cette zone à l'intérieur de votre corps, vous tous en pyjama sale, l'après-midi s'étirant en soirée.	Ils te trouvent allongé(e) par terre à côté de ton lit.					
depressed	hopeless	Ressentez la zone grandir et commencer à se répandre hors de votre corps jusqu'à ce qu'elle remplisse la pièce.	Tu cherches autour de toi, mais tu peux à peine les voir à travers le brouillard.					
depressed	morose	Peut-être que si vous essayez de nettoyer cette zone, vous vous sentirez mieux. Vous essayez, mais ne savez pas par où commencer. Vous abandonnez.	Écoute-les se plaindre.					
depressed	depressed	Imaginez cette zone à l'intérieur de votre corps, vous tous en pyjama sale, l'après-midi s'étirant en soirée.	Ils te trouvent allongé(e) par terre à côté de ton lit.					
confused	doubtful	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
confused	uncertain	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
confused	indecisive	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
confused	hesitant	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
confused	uneasy	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
confused	confused	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
confused	perplexed	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
confused	distrustful	Laissez votre esprit changer de focus d'un côté de cette zone à l'autre. Sentez comment ils représentent tous deux un côté différent du vrai.	Si tu t'approches d'eux, ils pourraient partir. Si tu ne le fais pas, ils pourraient être offensés.					
