afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong
Plisse les yeux.	Demande-leur rhétoriquement : "Qu'est le pire qui puisse arriver ?"	Crie.	Pose une question.	Abandonne.	Réfléchis à la façon dont leur vie est meilleure que la tienne.	Souris.	Abandonne.	Dis-leur "Quoi ?"	Réessaie.	Pose une question de suivi.	Plisse les yeux.	Souris avec les yeux.	Regarde-les dans les yeux.	Plisse les yeux, regarde légèrement vers le haut à ta droite.	Dis-leur que tu es émerveillé(e) et que tu veux en savoir plus.	Soupire.	Attends.
Évite le contact visuel.	Dis-leur d'aller prendre un autre verre.	Partage tes frustrations.	Répète ce qu'ils viennent de te dire.	Ferme les yeux.	Admire-les.	Souris et dis merci.	Regarde le sol.	Fixe le vide.	Hausse les épaules.	Penche-toi en avant.	Recule.	Demande-leur s'ils ont tout ce dont ils ont besoin.	Respire.	Plisse les yeux et acquiesce lentement.	Souris avec les yeux tout en haussant les sourcils.	Pleure silencieusement une perte.	Partage ton opinion.
Tape des doigts sur ta cuisse.	Imagine que tu connais un secret qui te fait réaliser que tout va bien se passer. Pense à ce secret et fais un signe de tête.	Compatis.	Répète ce qu'ils viennent de dire.	Regarde vers le bas.	Imagine comment ta vie serait plus facile si tu étais eux.	Établis un contact visuel.	Cesse d'essayer.	Regarde-les comme si tu pouvais voir leur bouche bouger mais que tu ne comprends pas ce qu'ils disent.	Ignore-les.	Acquiesce de manière encourageante.	Secoue la tête.	Dis-leur que tu es là pour eux.	Détends tes épaules.	Demande-leur s'ils pensent qu'il y a une autre façon.	Que ce qu'ils disent te donne de la force.	Mentionne quelque chose qui te manque.	Reste fidèle à tes croyances.
Vite ! Souris pour qu'ils ne remarquent pas que tu es sur eux.	Demande-leur s'ils veulent aller à Disneyland avec toi.	Élève la voix.	Oublie.	Soupire.	Écarquille tes yeux.	Maintiens leur regard.	Demande "Quel est l'intérêt ?"	Regarde-les avec un visage vide et secoue lentement la tête.	Écoute à moitié ce qu'ils disent.	Dis "dis-moi davantage".	Critique.	Demande-leur ce dont ils ont besoin.	Écoute.	Dis-leur que tu es ouvert à d'autres solutions.	Dis-leur que tu viens d'avoir une excellente idée.	Abandonne-toi à la mélancolie.	Tiens ta position.
Ouvre la bouche pour dire quelque chose, puis referme-la.	Dis-leur : "Bien sûr ! Je prendrai un autre verre !"	Critique.	Change de sujet.	Ignore ce qu'ils disent.	Regarde ailleurs.	Acquiesce en signe d'accord.	Regarde vers le bas.	Ouvre la bouche comme si tu allais dire quelque chose.	Rêvasse.	Pose des questions.	Pointe du doigt les problèmes.	Souris avec les yeux et acquiesce.	Demande-leur d'approfondir.	Dis : "Huh... Je n'ai jamais pensé à ça de cette façon."	Dis-leur que tu vois maintenant la solution.	Affaisse tes épaules.	Acquiesce de manière décontractée.
Jette un coup d'œil par-dessus ton épaule.	Dis-leur que personne n'est vraiment aux commandes ici, donc toutes les idées sont sur la table.	Garde rancune.	Désaccorde-toi.	Hausse les épaules.	Parle de ce que tu veux.	Augmente ton énergie.	S'agite.	Lève-toi et fixe le vide.	Regarde les murs.	Regarde-les attentivement.	Contredis.	Souris sans montrer tes dents.	Dis "Dis-moi davantage".	Respire profondément.	Dis-leur "oui et…"	Parle doucement.	Incline-toi en arrière.
Tu sais que leurs intentions ne sont pas bonnes, mais dis-leur merci d'être si gentils.	Inspire profondément.	Provoque-les.	Change d'avis.	Enveloppe tes bras autour de toi.	Imagine comment les choses pourraient être différentes.	Approuve ce qu'ils disent.	Avoir un regard vide.	Protège-toi.	Tape tes doigts ensemble tout en comptant.	Observe.	Ignore ce qu'ils disent.	Regarde-les profondément dans les yeux.	Pose des questions.	Réfléchis à ce qui va bien en ce moment.	Vous pouvez vous entraider.	Baisse ta voix.	Lâche prise des soucis.
Détourne le regard.	Parle légèrement plus fort que d'habitude.	Désaccorde-toi catégoriquement.	Es-tu sûr ? Essaye de reconsiderer.	Fixe le lointain.	Souhaite.	Rappelle la meilleure chose qui soit arrivée cette semaine.	Respire rapidement.	Balance-toi d'avant en arrière.	Laisse tomber.	Fais attention.	Réitère.	Émane de la chaleur.	Réfléchis à ce qu'ils disent.	Lâche prise.	Prends une grande inspiration et acquiesce intensément.	Évoque un ami d'autrefois.	Pense à toutes les tâches que tu as cochées sur ta liste de choses à faire la semaine dernière.
Quel est le pire qui pourrait arriver ? Imagine cela.	Remarque ton environnement.	Réfute.	Dis la première chose qui te vient à l'esprit.	Ignore.	Rêve.	Sois chaleureux·se.	Rejette les réconforts.	Enveloppe tes bras autour de toi.	Fais un signe de tête.	Considère comment ils se sentent.	Secoue la tête d'incrédulité.	Tiens-les tout près.	Considère ton contexte.	Répète une phrase apaisante pour toi-même.	Sois d'accord.	Replie-toi sur toi-même.	Persévère.
Indulge tes inquiétudes.	Fais attention à ton odeur.	Ignore ce qu'ils disent.	Regarde dans l'autre direction.	Désengage-toi.	Désire.	Fais une blague.	Lâche prise.	Considère où tu ressens actuellement de la douleur dans ton corps.	Compte les taches sur le mur.	Imagine que tu es eux.	Demande plus.	Invite-les.	Penche-toi en avant.	Sois d'accord avec eux.	Acquiesce de manière soutenante.	Regarde vers le bas.	Continue d'avancer.
